AIN,Street,City,State,ZIP,Price,LastSaleDate,YearBuild,Bedrooms,BathRooms,Sqft
3003005017,39525 ARMFIELD AVE                    ,PALMDALE CA,  ,935510000,437004,20230106,1957,3,2,1080
4211032030,6020 SEABLUFF DR                     ,PLAYA VISTA,CA,900940000,1149011,20230405,2006,2,2,1260
5539013051,821 ALOE DR                         ,LOS ANGELES,CA,900290000,1150011,20230831,2022,3,4,1720
2606019006,11926 CAMEO PL                        ,LOS ANGELES,CA,913440000,1200012,20230726,1958,4,3,2497
2801015007,19537 ERMINE ST                       ,SANTA CLARI,A ,913510000,630006,20240315,1963,4,2,1440
7260011071,2507 15TH ST                         ,LONG BEACH ,A ,908040000,475004,20231012,1988,2,2,856
7369003017,22621 NADINE CIR                      ,TORRANCE CA,  ,905050000,577505,20230616,1963,1,2,1117
7459002046,1440 9TH ST                          ,LOS ANGELES,CA,907320000,590005,20230726,1980,2,2,1320
3049015012,35909 80TH ST E                       ,LITTLEROCK ,A ,935430000,275002,20230925,1957,3,1,1184
3074005004,16306 CHUKA AVE                       ,LAKE LOS AN,EL,935910000,410004,20240201,1989,3,2,1402
7557038002,2002 GENERAL ST                      ,RNCHO PALOS,VR,902750000,1120011,20230601,1955,3,2,1250
7445022029,1129 CAPITOL DR                      ,LOS ANGELES,CA,907320000,915509,20230216,1998,4,3,2053
3140013003,43946 CAROLSIDE AVE                   ,LANCASTER C,  ,935350000,365003,20230501,1955,3,2,1212
2607015056,17183 ARMSTEAD ST                     ,LOS ANGELES,CA,913440000,1060010,20230822,1963,3,2,1692
2532010025,12367 STONEGATE RD                    ,LOS ANGELES,CA,913310000,600006,20230322,1987,3,3,1901
8365003059,538 ASPEN LN                        ,POMONA CA  ,  ,917670000,575005,20231114,1980,3,2,1468
7131032032,5094 LONG BEACH BLVD                 ,LONG BEACH ,A ,908050000,651006,20230222,2023,3,3,1350
7062030011,4106 IROQUOIS AVE                    ,LAKEWOOD CA,  ,907130000,1000010,20231023,1952,3,2,1874
5554016046,1275 HAVENHURST DR                   ,WEST HOLLYW,OD,900460000,545005,20230221,1957,1,1,719
8706013060,23719 HIGHLAND VALLEY RD              ,DIAMOND BAR,CA,917650000,509005,20230227,1981,2,2,1122
5586017048,5919 CHULA VISTA WAY                 ,LOS ANGELES,CA,900680000,600006,20230718,1963,1,1,749
4287034034,716 MARINE ST                       ,SANTA MONIC, C,904050000,2800028,20230912,2006,4,3,1972
2532010092,12324 SWEETBRIAR LN                   ,LOS ANGELES,CA,913310000,625006,20230726,1988,3,3,1999
2222027157,15425 SHERMAN WAY                     ,LOS ANGELES,CA,914060000,390003,20230602,1976,2,1,720
4329006147,10120 EMPYREAN WAY                    ,LOS ANGELES,CA,900670000,1800018,20230627,1979,2,3,2270
4218004009,11832 WAGNER ST                       ,LOS ANGELES,CA,902300000,1258012,20230110,1955,3,2,1160
7445010190,1301 CAPITOL DR                      ,LOS ANGELES,CA,907320000,547005,20231013,1983,2,2,961
2332031014,6116 ALCOVE AVE                      ,LOS ANGELES,CA,916060000,1085010,20230104,1957,4,3,2006
4173031004,3112 ELM AVE                         ,MANHATTAN B,AC,902660000,2900029,20230110,1995,4,3,3051
4339015027,964 LARRABEE ST                     ,W HOLLYWOOD,CA,900690000,438004,20230329,1969,1,1,538
8070016019,14343 CABRILLO AVE                    ,NORWALK CA ,  ,906500000,695006,20230901,1954,4,2,1296
5302013095,3961 VIA MARISOL                     ,LOS ANGELES,CA,900420000,620006,20230309,1982,2,2,1011
8717025211,22795 LAKEWAY DR                      ,DIAMOND BAR,CA,917650000,505005,20231128,1987,2,2,789
3121027007,44939 16TH ST W                       ,LANCASTER C,  ,935340000,450004,20230615,1955,4,2,1832
4277010117,928 19TH ST                         ,SANTA MONIC, C,904030000,1995019,20230310,1991,3,3,1797
2582040040,16652 NICKLAUS DR                     ,LOS ANGELES,CA,913420000,757507,20230524,2007,3,3,2520
8250012004,714 LARIMORE AVE                    ,LA PUENTE C,  ,917440000,560005,20230915,1954,3,1,1088
7561027018,2447 DALADIER DR                     ,RANCHO PALO, V,902750000,2200022,20231025,1963,5,4,3788
4118013134,8160 MANITOBA ST                     ,LOS ANGELES,CA,902930000,918009,20231023,1979,2,2,1449
7001003022,15358 SAN BRUNO DR                    ,LA MIRADA C,  ,906380000,850008,20240123,1955,4,3,2287
8245020010,1109 GAYLAND AVE                     ,HACIENDA HE,GH,917450000,575005,20230818,1954,3,1,1073
4458027029,3525 COAST VIEW DR                   ,MALIBU CA  ,  ,902650000,2650026,20230607,1972,3,3,2062
7442012013,1614 AMELIA AVE                      ,LOS ANGELES,CA,907310000,1225012,20230928,1961,5,3,2413
7054009038,12303 ACADEMY WAY                     ,ARTESIA CA ,  ,907010000,1140011,20231018,1960,2,1,936
2064028054,4150 VIA MIRA MONTE                  ,CALABASAS C,  ,913010000,1825018,20230724,2001,4,4,3156
7275012086,1575 APPLETON ST                     ,LONG BEACH ,A ,908020000,528005,20231017,1958,1,1,812
8289018027,3302 MONTELLANO AVE                  ,HACIENDA HE,GH,917450000,1200012,20231219,1978,4,3,2936
2045015015,23701 TIARA ST                        ,LOS ANGELES,CA,913670000,1265012,20230811,1959,4,2,1939
8265012011,2421 DONOSA DR                       ,ROWLAND HEI,HT,917480000,950009,20231205,1962,3,2,1324
3005031080,39949 GOLFERS DR                      ,PALMDALE CA,  ,935510000,397503,20230601,1979,2,3,1370
2504006126,14380 FOOTHILL BLVD                   ,LOS ANGELES,CA,913420000,580005,20230707,1984,2,3,1171
5734019120,511 EL MOLINO AVE                   ,PASADENA CA,  ,911010000,687006,20230719,1988,2,3,1158
4017009031,756 INGLEWOOD AVE                   ,INGLEWOOD C,  ,903020000,399003,20230210,1969,2,2,948
4156030065,2112 CLARK LANE                      ,REDONDO BEA,H ,902780000,1675016,20230818,2009,4,3,2320
2530036035,11360 KAGEL CANYON ST                 ,LOS ANGELES,CA,913420000,900009,20230911,1964,4,2,1594
2052035011,27041 ESWARD DR                       ,CALABASAS C,  ,913010000,1900019,20230201,1974,4,4,3458
5255018038,208 NICHOLSON AVE                   ,MONTEREY PA,K ,917550000,720007,20230524,1984,3,3,1604
6391001018,9327 LUBEC ST                        ,DOWNEY CA  ,  ,902400000,875008,20230502,1953,3,2,1989
7413014056,1044 252ND ST                        ,LOS ANGELES,CA,907100000,676006,20230414,1991,3,3,1890
4153030037,2701 VOORHEES AVE                    ,REDONDO BEA,H ,902780000,875008,20231101,1979,2,3,1195
2277010019,15117 RAYNETA DR                      ,LOS ANGELES,CA,914030000,1415014,20230414,1954,3,2,1375
3023041053,37735 TACKSTEM ST                     ,PALMDALE CA,  ,935520000,437004,20230215,1989,3,2,1488
8036011002,12015 GRAYLING AVE                    ,WHITTIER CA,  ,906040000,710007,20230130,1962,4,2,1619
4296014040,5042 MAYTIME LN                      ,CULVER CITY,CA,902300000,869008,20230524,1973,3,2,1130
2822006018,11748 DORAL AVE                       ,LOS ANGELES,CA,913260000,1150011,20231106,1977,4,3,2207
4262014026,1611 GRANVILLE AVE                   ,LOS ANGELES,CA,900250000,820008,20230616,1984,2,3,1062
7519008035,20520 ENTRADERO AVE                   ,TORRANCE CA,  ,905030000,1833018,20230404,1961,5,3,2986
5823030012,2349 ARROYO BLVD                     ,PASADENA CA,  ,911030000,1229012,20240102,1969,3,2,1705
6154027004,2540 EL SEGUNDO BLVD                 ,COMPTON CA ,  ,902220000,500005,20230123,1955,3,1,956
4270019043,2608 33RD ST                         ,SANTA MONIC, C,904050000,2200022,20230912,1951,3,3,1527
3101038039,5519 PINE AVE                        ,PALMDALE CA,  ,935510000,620006,20230830,1988,5,3,2839
4326003066,10550 WILSHIRE BLVD                   ,LOS ANGELES,CA,900240000,1600016,20231010,1981,2,3,2146
7059030023,20223 JERSEY AVE                      ,LAKEWOOD CA,  ,907150000,760007,20230120,1956,3,2,1242
8381019014,1403 5TH ST                          ,LA VERNE CA,  ,917500000,815008,20230629,1958,2,1,767
3150050063,43844 SAN FRANCISCO AVE               ,LANCASTER C,  ,935350000,393003,20230824,1990,3,2,1206
3112029015,42843 NORMANDY LN                     ,LANCASTER C,  ,935360000,390003,20231106,1980,3,2,1624
2057021045,32116 CANYON RIDGE DR                 ,WESTLAKE VI,LA,913610000,1125011,20231011,1987,3,3,2242
8358009034,912 WERLY DR                        ,POMONA CA  ,  ,917680000,734007,20230228,2022,3,3,1908
2803031019,18846 VICCI ST                        ,SANTA CLARI,A ,913510000,750007,20230315,1972,4,3,1595
6152016037,2124 NORD ST                         ,COMPTON CA ,  ,902220000,440004,20230221,1963,2,1,809
7348010013,21130 BERENDO AVE                     ,TORRANCE CA,  ,905020000,840008,20230921,1954,2,2,1442
2829016063,25056 EVERETT DR                      ,SANTA CLARI,A ,913210000,675006,20230831,1963,2,1,923
8588010007,9728 WEDGEWOOD ST                    ,TEMPLE CITY,CA,917800000,1910019,20230630,2002,4,4,3147
2656017003,15500 VINCENNES ST                    ,LOS ANGELES,CA,913430000,910009,20230503,1953,4,2,1907
8661026008,452 CONESTOGA RD                    ,SAN DIMAS C,  ,917730000,825008,20230719,1989,4,3,2129
8632006002,1053 PROSPERO DR                     ,GLENDORA CA,  ,917400000,728007,20231205,1955,4,1,1154
8230006061,10434 WOODSTEAD AVE                   ,WHITTIER CA,  ,906030000,918009,20230922,1955,3,2,1493
2810134040,24118 PASEO DEL RANCHO DR             ,SANTA CLARI,A ,913540000,840008,20230328,2018,4,3,2506
2812125043,17807 TOP CT                          ,SANTA CLARI,A ,913500000,883508,20230411,2023,3,3,1825
8513013089,401 MONROVISTA AVE                  ,MONROVIA CA,  ,910160000,750007,20231129,2008,3,3,1442
7264023128,2601 OCEAN BLVD                      ,LONG BEACH ,A ,908030000,775007,20230519,1973,2,2,1134
5073006038,1401 ST ANDREWS PL                   ,LOS ANGELES,CA,900190000,660006,20230421,2007,3,2,1150
5743018032,2128 BRIGDEN RD                      ,PASADENA CA,  ,911040000,1295012,20230609,1972,3,2,1595
8139031050,7239 COMSTOCK AVE                    ,WHITTIER CA,  ,906020000,590005,20230215,1981,2,3,1430
2074005012,4932 DUNMAN AVE                      ,LOS ANGELES,CA,913640000,985009,20231205,1956,3,2,1372
4382032123,2805 WOODWARDIA DR                   ,LOS ANGELES,CA,900770000,1570015,20230518,1970,4,3,2577
