STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,ACCOUNTING_ENTRY,Accounting entry,FS_ENTRY,Flow or stock entry,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,49938,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,50166,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,95916,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,112037,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,1177039,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,1184412,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,-44419,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,-45978,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN2,Secondary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,-61871,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,338382,,A,Normal value,6,Millions,USD,US dollar,2,Two
